WDPA_ID,WDPA_NAME,COUNT_TOTAL_SPECIES,COUNT_CC_VULNERABLE_SPECIES,PERCENT_CC_VULNERABLE_SPECIES
342673,Cufada,603,65,10.78
351088,Cantanhez Forest,614,69,11.24
352605,Foret de Ndioum Dieri,388,68,17.53
352606,Foret de Amboura,421,71,16.86
352607,Sogobe,472,77,16.31
352608,Foret de Tilene et Ndiaye,473,73,15.43
352609,Six Forage,479,79,16.49
352610,Foret de Keur Momar Sarr,497,77,15.49
352611,Foret de Mpal,477,74,15.51
352612,Foret de Leybar,476,73,15.34
352613,Lougguere Todji,391,58,14.83
352614,Khadar,375,53,14.13
352615,Foret de Diamel,371,67,18.06
352616,Yonofere,384,54,14.06
352617,Barkedji Dodji,368,51,13.86
352618,Foret de Pate,631,83,13.15
352619,Boulal,417,59,14.15
352620,Foret de Boulierobe,427,64,14.99
352621,Khogue,363,46,12.67
352622,Deali,434,61,14.06
352623,Velingara,370,46,12.43
352624,Linde Sud,382,46,12.04
352625,Oldou Debokol,423,58,13.71
352626,Foret de Pire-Goureye,462,57,12.34
352627,Bem-Bem,370,45,12.16
352628,Sab-Sabre,399,45,11.28
352629,Doli,419,49,11.69
352630,Foret de Thies,499,60,12.02
352631,Mbegue,457,47,10.28
352632,Foret de Bandia,511,58,11.35
352633,Siné-Saloum,451,48,10.64
352634,Foret de Panal,503,54,10.74
352635,Foret de Narangs,513,59,11.50
352636,Foret de Tamba- Nord,536,54,10.07
352637,Foret de Birkelane,483,46,9.52
352638,Foret de Goudiri,481,48,9.98
352639,Foret de Kassas,472,46,9.75
352640,Foret de Delbi,489,48,9.82
352641,Foret de Bala- Est,484,48,9.92
352642,Foret des Paniates,542,59,10.89
352643,Foret de Sagna,473,45,9.51
352644,Foret de Malem Niani,556,59,10.61
352645,Foret de Wélor,525,55,10.48
352646,Foret de Malem-Hodar,507,50,9.86
352647,Foret de Bala- Ouest,488,49,10.04
352648,Foret de Maka Yop-ouest,548,58,10.58
352649,Foret de Maka Yop-est,537,57,10.61
352650,Khogue,550,59,10.73
352651,Foret du Ouli,530,53,10.00
352652,Foret de Botou,528,51,9.66
352653,Foret de Ndankou,592,67,11.32
352654,Foret de Tamba-sud,543,54,9.94
352655,Foret de Ngayene,604,68,11.26
352656,Foret de Patako,602,68,11.30
352657,Foret de Fathala,615,71,11.54
352658,Foret de Diambour,613,62,10.11
352659,Foret de Pane,592,67,11.32
352660,Foret de Mambi,597,66,11.06
352661,Foret de Baria,613,69,11.26
352662,Foret de Pata,647,71,10.97
352663,Foret de Kantora,598,57,9.53
352664,Foret du Guimara,626,65,10.38
352665,Foret des Narangs,649,74,11.40
352666,Foret de Kandiadiou,643,69,10.73
352667,Foret d'Essom,648,71,10.96
352668,Foret de l'Anambe,547,49,8.96
352669,Foret de Bakor,566,52,9.19
352670,Foret de Diatouma,562,50,8.90
352671,Foret de Sadiata,567,50,8.82
352672,Foret de Koulaye,623,65,10.43
352673,Foret de Dabo,674,74,10.98
352674,Foret de Mahon,556,51,9.17
352675,Foret de la Kayanga,568,52,9.15
352676,Foret de Kalounayes,633,69,10.90
352677,Foret de Bari,600,61,10.17
352678,Foret de Yassine,608,65,10.69
352679,Foret de Toutoune,536,49,9.14
352680,Foret du Balmadou,566,54,9.54
352681,Foret du Boudie,594,62,10.44
352682,Foret de Mampaye,553,49,8.86
352683,Foret de Koudora,550,51,9.27
352684,Foret de Tobor,612,64,10.46
352685,Foret de Bissine,593,65,10.96
352686,Foret de Blaz,590,67,11.36
352687,Foret de Bafata,574,62,10.80
352688,Foret de Boukitingo,596,65,10.91
352689,Foret de Diantene,587,63,10.73
352690,Foret d'Oukout,590,63,10.68
352691,Foret des Bayot,594,66,11.11
352692,Foret de Djibelor,595,62,10.42
352693,Foret de Mangaroungou,559,56,10.02
352694,Foret de Bignona,615,66,10.73
352695,Foret de Djipakoum,616,64,10.39
352696,Foret de Sangako,589,70,11.88
352697,Foret de Sokone,547,61,11.15
352698,Foret de Saboya,601,68,11.31
352699,Foret de Gouloumbou,587,57,9.71
354002,Mbe Mountains,663,137,20.66
354003,Afi Mountain,644,133,20.65
902737,Gueltas et Oasis de l?Aïr,1,1,100.00
902738,La mare de Dan Doutchi,340,53,15.59
902739,La mare de Lassouri,321,55,17.13
902740,La mare de Tabalak,281,49,17.44
902741,Oasis du Kawar,84,21,25.00
902838,Réserve de faune de Binder-Léré,555,71,12.79
903024,Tanbi Wetland Complex,662,79,11.93
903104,Apoi Creek Forests,643,156,24.26
903105,Baturiya Wetland,503,74,14.71
903106,Dagona Sanctuary Lake,444,63,14.19
903107,Foge Islands,600,70,11.67
903108,Lower Kaduna-Middle Niger Floodplain,618,70,11.33
903110,Oguta Lake,638,153,23.98
903111,Pandam and Wase Lakes,599,67,11.19
903112,Upper Orashi Forests,681,175,25.70
903113,Lake Chad Wetlands in Nigeria,573,101,17.63
555512165,Foya,772,142,18.39
555512166,Kpo Mountains,733,141,19.24
555512167,Bong Mountain,647,126,19.47
555512168,Gbi,653,126,19.30
555512169,Grand Kru-River Gee,642,127,19.78
555512170,Zwedru,696,142,20.40
555542335,Gola Rainforest National Park,761,135,17.74
555542456,Margibi Mangrove,653,118,18.07
555542457,Lake Piso,696,131,18.82
555547522,Gunjur (Bolonfenyo),617,69,11.18
555547523,Abuko (Buffer),637,73,11.46
555547524,Tanbi,662,79,11.93
555547525,Abokouamekro,687,98,14.26
555547526,Lamto,704,121,17.19
555547987,Lakes of Ounianga,74,21,28.38
555555549,Kilimi,642,68,10.59
555556050,Nema Wula,522,50,9.58
555556051,Mande Wula,520,50,9.62
555556052,Tin Achara,102,32,31.37
555556053,Tidermene Alata,247,57,23.08
555556055,Nienendougou,518,48,9.27
555556056,Inekar,108,33,30.56
555556057,Faragama,522,50,9.58
555556058,Banzana,517,48,9.28
555556059,Nienendougou,517,49,9.48
555556060,Talikourou,551,62,11.25
555556061,Banifing Baoulé,531,59,11.11
555556062,Siankadougou,509,52,10.22
555556063,Nema Wula,527,50,9.49
555556064,Mande Wula,537,52,9.68
555556065,Djangoumerila,522,50,9.58
555556066,Dialakoro,509,51,10.02
555556067,Djinetoumanina,504,48,9.52
555556068,Alata,215,49,22.79
555558302,Sena Oura,535,63,11.78
555558303,Aouk,67,23,34.33
